sim,10,1,26,460,180
sim,10,1,26,230,200
sim,10,1,26,240,180
sim,10,1,26,460,890
sim,10,1,26,260,200
sim,10,1,26,460,170
sim,10,1,26,460,410
sim,10,1,26,270,200
sim,10,1,26,80,870
sim,10,1,26,460,200
sim,10,1,29,10,320
sim,10,1,29,430,780
sim,10,1,29,180,320
sim,10,1,29,10,330
sim,10,1,29,170,320
sim,10,1,29,430,790
sim,10,1,29,10,340
sim,10,1,29,170,330
sim,10,1,29,180,330
sim,10,1,29,170,360
sim,10,1,45,40,410
sim,10,1,45,850,410
sim,10,1,45,40,400
sim,10,1,45,320,410
sim,10,1,45,230,410
sim,10,1,45,20,410
sim,10,1,45,320,400
sim,10,1,45,760,410
sim,10,1,45,10,410
sim,10,1,45,20,400
sim,10,1,61,840,110
sim,10,1,61,780,110
sim,10,1,61,780,520
sim,10,1,61,780,140
sim,10,1,61,830,110
sim,10,1,61,750,140
sim,10,1,61,740,140
sim,10,1,61,410,520
sim,10,1,61,450,820
sim,10,1,61,820,110
sim,3,1,1,460,550
sim,3,1,1,460,110
sim,3,1,1,530,110
sim,3,1,1,460,120
sim,3,1,1,520,110
sim,3,1,1,530,120
sim,3,1,1,460,470
sim,3,1,1,530,550
sim,3,1,1,530,140
sim,3,1,1,460,460
sim,3,1,2,350,580
sim,3,1,2,350,590
sim,3,1,2,340,460
sim,3,1,2,340,580
sim,3,1,2,390,580
sim,3,1,2,350,460
sim,3,1,2,390,570
sim,3,1,2,400,460
sim,3,1,2,410,460
sim,3,1,2,400,570
sim,3,1,3,530,570
sim,3,1,3,530,130
sim,3,1,3,530,140
sim,3,1,3,530,560
sim,3,1,3,530,150
sim,3,1,3,530,580
sim,3,1,3,530,180
sim,3,1,3,520,140
sim,3,1,3,520,130
sim,3,1,3,520,150
sim,3,1,4,240,250
sim,3,1,4,240,260
sim,3,1,4,240,280
sim,3,1,4,170,250
sim,3,1,4,240,270
sim,3,1,4,160,250
sim,3,1,4,230,250
sim,3,1,4,240,500
sim,3,1,4,170,260
sim,3,1,4,350,250
sim,3,1,5,210,200
sim,3,1,5,210,210
sim,3,1,5,210,320
sim,3,1,5,210,430
sim,3,1,5,230,110
sim,3,1,5,230,100
sim,3,1,5,230,120
sim,3,1,5,210,260
sim,3,1,5,210,110
sim,3,1,5,210,420
sim,3,1,6,400,320
sim,3,1,6,410,320
sim,3,1,6,400,360
sim,3,1,6,420,390
sim,3,1,6,520,440
sim,3,1,6,400,350
sim,3,1,6,400,330
sim,3,1,6,410,390
sim,3,1,6,400,390
sim,3,1,6,520,570
sim,3,1,7,630,530
sim,3,1,7,630,620
sim,3,1,7,630,520
sim,3,1,7,620,620
sim,3,1,7,640,620
sim,3,1,7,620,530
sim,3,1,7,620,80
sim,3,1,7,620,520
sim,3,1,7,640,80
sim,3,1,7,630,540
sim,3,1,8,730,300
sim,3,1,8,730,260
sim,3,1,8,730,220
sim,3,1,8,730,200
sim,3,1,8,730,240
sim,3,1,8,730,280
sim,3,1,8,720,300
sim,3,1,8,720,260
sim,3,1,8,730,290
sim,3,1,8,730,270
sim,3,1,9,0,730
sim,3,1,9,0,720
sim,3,1,9,650,750
sim,3,1,9,30,720
sim,3,1,9,650,730
sim,3,1,9,30,730
sim,3,1,9,650,720
sim,3,1,9,10,720
sim,3,1,9,10,730
sim,3,1,9,0,750
sim,3,1,10,220,660
sim,3,1,10,180,660
sim,3,1,10,180,650
sim,3,1,10,220,620
sim,3,1,10,180,620
sim,3,1,10,220,130
sim,3,1,10,580,310
sim,3,1,10,580,410
sim,3,1,10,180,640
sim,3,1,10,580,720
sim,3,1,11,170,750
sim,3,1,11,100,750
sim,3,1,11,190,750
sim,3,1,11,130,750
sim,3,1,11,110,750
sim,3,1,11,80,750
sim,3,1,11,180,750
sim,3,1,11,90,750
sim,3,1,11,590,0
sim,3,1,11,210,750
sim,3,1,12,390,270
