nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = gru lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
220/250  Train Acc = 0.470000
230/250  Train Acc = 0.370000
240/250  Train Acc = 0.470000
250/250  Train Acc = 0.520000
	Train cost = 1.349902,	Accuracy = 0.477760
10/250  Test Acc = 0.450000
20/250  Test Acc = 0.410000
30/250  Test Acc = 0.440000
40/250  Test Acc = 0.340000
50/250  Test Acc = 0.410000
60/250  Test Acc = 0.390000
70/250  Test Acc = 0.530000
80/250  Test Acc = 0.540000
90/250  Test Acc = 0.430000
100/250  Test Acc = 0.510000
110/250  Test Acc = 0.460000
120/250  Test Acc = 0.460000
130/250  Test Acc = 0.420000
140/250  Test Acc = 0.470000
150/250  Test Acc = 0.500000
160/250  Test Acc = 0.510000
170/250  Test Acc = 0.380000
180/250  Test Acc = 0.460000
190/250  Test Acc = 0.540000
200/250  Test Acc = 0.350000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.480000
230/250  Test Acc = 0.440000
240/250  Test Acc = 0.340000
250/250  Test Acc = 0.440000
	Test cost = 1.431653,	Accuracy = 0.432480
Epoch = 5
10/250  Train Acc = 0.510000
20/250  Train Acc = 0.520000
30/250  Train Acc = 0.510000
40/250  Train Acc = 0.440000
50/250  Train Acc = 0.520000
60/250  Train Acc = 0.380000
70/250  Train Acc = 0.520000
80/250  Train Acc = 0.460000
90/250  Train Acc = 0.560000
100/250  Train Acc = 0.500000
110/250  Train Acc = 0.520000
120/250  Train Acc = 0.520000
130/250  Train Acc = 0.480000
140/250  Train Acc = 0.480000
150/250  Train Acc = 0.410000
160/250  Train Acc = 0.460000
170/250  Train Acc = 0.420000
180/250  Train Acc = 0.520000
190/250  Train Acc = 0.550000
200/250  Train Acc = 0.460000
210/250  Train Acc = 0.560000
220/250  Train Acc = 0.470000
230/250  Train Acc = 0.390000
240/250  Train Acc = 0.480000
250/250  Train Acc = 0.530000
	Train cost = 1.308190,	Accuracy = 0.493800
10/250  Test Acc = 0.450000
20/250  Test Acc = 0.430000
30/250  Test Acc = 0.460000
40/250  Test Acc = 0.360000
50/250  Test Acc = 0.400000
60/250  Test Acc = 0.400000
70/250  Test Acc = 0.530000
80/250  Test Acc = 0.540000
90/250  Test Acc = 0.430000
100/250  Test Acc = 0.530000
110/250  Test Acc = 0.480000
120/250  Test Acc = 0.460000
130/250  Test Acc = 0.430000
140/250  Test Acc = 0.460000
150/250  Test Acc = 0.510000
160/250  Test Acc = 0.530000
170/250  Test Acc = 0.400000
180/250  Test Acc = 0.470000
190/250  Test Acc = 0.520000
200/250  Test Acc = 0.360000
210/250  Test Acc = 0.380000
220/250  Test Acc = 0.480000
230/250  Test Acc = 0.450000
240/250  Test Acc = 0.350000
250/250  Test Acc = 0.420000
	Test cost = 1.429878,	Accuracy = 0.432680
Epoch = 6
10/250  Train Acc = 0.520000
20/250  Train Acc = 0.540000
30/250  Train Acc = 0.520000
40/250  Train Acc = 0.440000
50/250  Train Acc = 0.520000
60/250  Train Acc = 0.400000
70/250  Train Acc = 0.540000
80/250  Train Acc = 0.450000
90/250  Train Acc = 0.570000
100/250  Train Acc = 0.530000
110/250  Train Acc = 0.520000
120/250  Train Acc = 0.520000
130/250  Train Acc = 0.490000
140/250  Train Acc = 0.490000
150/250  Train Acc = 0.430000
160/250  Train Acc = 0.510000
170/250  Train Acc = 0.430000
180/250  Train Acc = 0.530000
190/250  Train Acc = 0.560000
200/250  Train Acc = 0.460000
210/250  Train Acc = 0.610000
220/250  Train Acc = 0.510000
230/250  Train Acc = 0.420000
240/250  Train Acc = 0.500000
250/250  Train Acc = 0.550000
	Train cost = 1.268835,	Accuracy = 0.509920
10/250  Test Acc = 0.460000
20/250  Test Acc = 0.420000
30/250  Test Acc = 0.460000
40/250  Test Acc = 0.330000
50/250  Test Acc = 0.420000
60/250  Test Acc = 0.370000
70/250  Test Acc = 0.510000
80/250  Test Acc = 0.520000
90/250  Test Acc = 0.440000
100/250  Test Acc = 0.530000
110/250  Test Acc = 0.470000
120/250  Test Acc = 0.470000
130/250  Test Acc = 0.400000
140/250  Test Acc = 0.470000
150/250  Test Acc = 0.510000
160/250  Test Acc = 0.520000
170/250  Test Acc = 0.430000
180/250  Test Acc = 0.440000
190/250  Test Acc = 0.530000
200/250  Test Acc = 0.340000
210/250  Test Acc = 0.400000
220/250  Test Acc = 0.500000
230/250  Test Acc = 0.460000
240/250  Test Acc = 0.340000
250/250  Test Acc = 0.420000
	Test cost = 1.433343,	Accuracy = 0.432480
Epoch = 7
10/250  Train Acc = 0.520000
20/250  Train Acc = 0.570000
30/250  Train Acc = 0.540000
40/250  Train Acc = 0.450000
50/250  Train Acc = 0.530000
60/250  Train Acc = 0.420000
70/250  Train Acc = 0.560000
80/250  Train Acc = 0.470000
90/250  Train Acc = 0.590000
100/250  Train Acc = 0.530000
110/250  Train Acc = 0.520000
120/250  Train Acc = 0.540000
130/250  Train Acc = 0.520000
140/250  Train Acc = 0.500000
150/250  Train Acc = 0.450000
160/250  Train Acc = 0.540000
170/250  Train Acc = 0.470000
180/250  Train Acc = 0.530000
190/250  Train Acc = 0.610000
200/250  Train Acc = 0.490000
210/250  Train Acc = 0.620000
220/250  Train Acc = 0.520000
230/250  Train Acc = 0.450000
240/250  Train Acc = 0.520000
250/250  Train Acc = 0.560000
	Train cost = 1.229548,	Accuracy = 0.526240
10/250  Test Acc = 0.470000
20/250  Test Acc = 0.440000
30/250  Test Acc = 0.450000
40/250  Test Acc = 0.340000
50/250  Test Acc = 0.420000
60/250  Test Acc = 0.390000
70/250  Test Acc = 0.500000
80/250  Test Acc = 0.510000
90/250  Test Acc = 0.400000
100/250  Test Acc = 0.540000
110/250  Test Acc = 0.460000
120/250  Test Acc = 0.490000
130/250  Test Acc = 0.420000
140/250  Test Acc = 0.450000
150/250  Test Acc = 0.520000
160/250  Test Acc = 0.510000
170/250  Test Acc = 0.470000
180/250  Test Acc = 0.420000
190/250  Test Acc = 0.540000
200/250  Test Acc = 0.370000
210/250  Test Acc = 0.410000
220/250  Test Acc = 0.480000
230/250  Test Acc = 0.470000
240/250  Test Acc = 0.340000
250/250  Test Acc = 0.400000
	Test cost = 1.441043,	Accuracy = 0.432400
Epoch = 8
10/250  Train Acc = 0.520000
20/250  Train Acc = 0.600000
30/250  Train Acc = 0.550000
40/250  Train Acc = 0.470000
50/250  Train Acc = 0.550000
60/250  Train Acc = 0.460000
70/250  Train Acc = 0.590000
80/250  Train Acc = 0.530000
90/250  Train Acc = 0.610000
100/250  Train Acc = 0.520000
110/250  Train Acc = 0.550000
120/250  Train Acc = 0.550000
130/250  Train Acc = 0.540000
140/250  Train Acc = 0.510000
150/250  Train Acc = 0.460000
160/250  Train Acc = 0.570000
170/250  Train Acc = 0.490000
180/250  Train Acc = 0.530000
190/250  Train Acc = 0.620000
200/250  Train Acc = 0.510000
210/250  Train Acc = 0.610000
220/250  Train Acc = 0.560000
230/250  Train Acc = 0.470000
240/250  Train Acc = 0.530000
250/250  Train Acc = 0.540000
	Train cost = 1.189604,	Accuracy = 0.543880
10/250  Test Acc = 0.440000
20/250  Test Acc = 0.450000
30/250  Test Acc = 0.460000
40/250  Test Acc = 0.360000
50/250  Test Acc = 0.410000
60/250  Test Acc = 0.390000
70/250  Test Acc = 0.510000
80/250  Test Acc = 0.540000
90/250  Test Acc = 0.400000
100/250  Test Acc = 0.530000
110/250  Test Acc = 0.480000
120/250  Test Acc = 0.470000
130/250  Test Acc = 0.420000
140/250  Test Acc = 0.450000
150/250  Test Acc = 0.520000
160/250  Test Acc = 0.520000
170/250  Test Acc = 0.470000
180/250  Test Acc = 0.410000
190/250  Test Acc = 0.560000
200/250  Test Acc = 0.360000
210/250  Test Acc = 0.410000
220/250  Test Acc = 0.470000
230/250  Test Acc = 0.460000
240/250  Test Acc = 0.330000
250/250  Test Acc = 0.400000
	Test cost = 1.456270,	Accuracy = 0.430840
Best Epoch = 5, Best MAE/ACC in Test = 0.432680
Written to results/grul_drop_0.0_lamb_0.0_fine.txt
