nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = False share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
220/250  Train Acc = 0.420000
230/250  Train Acc = 0.470000
240/250  Train Acc = 0.510000
250/250  Train Acc = 0.420000
	Train cost = 1.437803,	Accuracy = 0.434560
10/250  Test Acc = 0.410000
20/250  Test Acc = 0.330000
30/250  Test Acc = 0.320000
40/250  Test Acc = 0.490000
50/250  Test Acc = 0.400000
60/250  Test Acc = 0.550000
70/250  Test Acc = 0.490000
80/250  Test Acc = 0.470000
90/250  Test Acc = 0.440000
100/250  Test Acc = 0.370000
110/250  Test Acc = 0.380000
120/250  Test Acc = 0.350000
130/250  Test Acc = 0.440000
140/250  Test Acc = 0.390000
150/250  Test Acc = 0.490000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.360000
180/250  Test Acc = 0.440000
190/250  Test Acc = 0.290000
200/250  Test Acc = 0.410000
210/250  Test Acc = 0.410000
220/250  Test Acc = 0.400000
230/250  Test Acc = 0.340000
240/250  Test Acc = 0.360000
250/250  Test Acc = 0.400000
	Test cost = 1.499221,	Accuracy = 0.420360
Epoch = 5
10/250  Train Acc = 0.450000
20/250  Train Acc = 0.450000
30/250  Train Acc = 0.430000
40/250  Train Acc = 0.470000
50/250  Train Acc = 0.380000
60/250  Train Acc = 0.430000
70/250  Train Acc = 0.390000
80/250  Train Acc = 0.440000
90/250  Train Acc = 0.380000
100/250  Train Acc = 0.480000
110/250  Train Acc = 0.440000
120/250  Train Acc = 0.360000
130/250  Train Acc = 0.370000
140/250  Train Acc = 0.350000
150/250  Train Acc = 0.390000
160/250  Train Acc = 0.380000
170/250  Train Acc = 0.500000
180/250  Train Acc = 0.500000
190/250  Train Acc = 0.290000
200/250  Train Acc = 0.460000
210/250  Train Acc = 0.480000
220/250  Train Acc = 0.430000
230/250  Train Acc = 0.490000
240/250  Train Acc = 0.510000
250/250  Train Acc = 0.410000
	Train cost = 1.415072,	Accuracy = 0.441080
10/250  Test Acc = 0.430000
20/250  Test Acc = 0.330000
30/250  Test Acc = 0.300000
40/250  Test Acc = 0.490000
50/250  Test Acc = 0.400000
60/250  Test Acc = 0.550000
70/250  Test Acc = 0.460000
80/250  Test Acc = 0.440000
90/250  Test Acc = 0.450000
100/250  Test Acc = 0.340000
110/250  Test Acc = 0.430000
120/250  Test Acc = 0.370000
130/250  Test Acc = 0.460000
140/250  Test Acc = 0.420000
150/250  Test Acc = 0.490000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.370000
180/250  Test Acc = 0.430000
190/250  Test Acc = 0.320000
200/250  Test Acc = 0.410000
210/250  Test Acc = 0.400000
220/250  Test Acc = 0.400000
230/250  Test Acc = 0.340000
240/250  Test Acc = 0.350000
250/250  Test Acc = 0.430000
	Test cost = 1.507998,	Accuracy = 0.422120
Epoch = 6
10/250  Train Acc = 0.480000
20/250  Train Acc = 0.460000
30/250  Train Acc = 0.430000
40/250  Train Acc = 0.460000
50/250  Train Acc = 0.370000
60/250  Train Acc = 0.420000
70/250  Train Acc = 0.420000
80/250  Train Acc = 0.450000
90/250  Train Acc = 0.380000
100/250  Train Acc = 0.400000
110/250  Train Acc = 0.440000
120/250  Train Acc = 0.380000
130/250  Train Acc = 0.380000
140/250  Train Acc = 0.390000
150/250  Train Acc = 0.400000
160/250  Train Acc = 0.350000
170/250  Train Acc = 0.520000
180/250  Train Acc = 0.510000
190/250  Train Acc = 0.330000
200/250  Train Acc = 0.460000
210/250  Train Acc = 0.470000
220/250  Train Acc = 0.450000
230/250  Train Acc = 0.480000
240/250  Train Acc = 0.540000
250/250  Train Acc = 0.430000
	Train cost = 1.394267,	Accuracy = 0.444640
10/250  Test Acc = 0.420000
20/250  Test Acc = 0.330000
30/250  Test Acc = 0.310000
40/250  Test Acc = 0.470000
50/250  Test Acc = 0.390000
60/250  Test Acc = 0.550000
70/250  Test Acc = 0.460000
80/250  Test Acc = 0.460000
90/250  Test Acc = 0.490000
100/250  Test Acc = 0.380000
110/250  Test Acc = 0.410000
120/250  Test Acc = 0.350000
130/250  Test Acc = 0.460000
140/250  Test Acc = 0.410000
150/250  Test Acc = 0.510000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.380000
180/250  Test Acc = 0.420000
190/250  Test Acc = 0.320000
200/250  Test Acc = 0.400000
210/250  Test Acc = 0.420000
220/250  Test Acc = 0.410000
230/250  Test Acc = 0.340000
240/250  Test Acc = 0.350000
250/250  Test Acc = 0.430000
	Test cost = 1.510689,	Accuracy = 0.424840
Epoch = 7
10/250  Train Acc = 0.490000
20/250  Train Acc = 0.460000
30/250  Train Acc = 0.450000
40/250  Train Acc = 0.470000
50/250  Train Acc = 0.380000
60/250  Train Acc = 0.400000
70/250  Train Acc = 0.410000
80/250  Train Acc = 0.410000
90/250  Train Acc = 0.380000
100/250  Train Acc = 0.450000
110/250  Train Acc = 0.420000
120/250  Train Acc = 0.400000
130/250  Train Acc = 0.390000
140/250  Train Acc = 0.400000
