nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

WARNING (theano.gof.compilelock): Overriding existing lock by dead process '62925' (I am process '63143')
Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
190/250  Train Acc = 0.320000
200/250  Train Acc = 0.260000
210/250  Train Acc = 0.440000
220/250  Train Acc = 0.400000
230/250  Train Acc = 0.310000
240/250  Train Acc = 0.480000
250/250  Train Acc = 0.480000
	Train cost = 1.539329,	Accuracy = 0.416880
10/250  Test Acc = 0.350000
20/250  Test Acc = 0.410000
30/250  Test Acc = 0.340000
40/250  Test Acc = 0.350000
50/250  Test Acc = 0.380000
60/250  Test Acc = 0.320000
70/250  Test Acc = 0.430000
80/250  Test Acc = 0.350000
90/250  Test Acc = 0.430000
100/250  Test Acc = 0.310000
110/250  Test Acc = 0.380000
120/250  Test Acc = 0.320000
130/250  Test Acc = 0.450000
140/250  Test Acc = 0.350000
150/250  Test Acc = 0.330000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.400000
180/250  Test Acc = 0.370000
190/250  Test Acc = 0.260000
200/250  Test Acc = 0.350000
210/250  Test Acc = 0.450000
220/250  Test Acc = 0.310000
230/250  Test Acc = 0.440000
240/250  Test Acc = 0.330000
250/250  Test Acc = 0.400000
	Test cost = 1.554712,	Accuracy = 0.399760
Epoch = 5
10/250  Train Acc = 0.480000
20/250  Train Acc = 0.450000
30/250  Train Acc = 0.450000
40/250  Train Acc = 0.340000
50/250  Train Acc = 0.480000
60/250  Train Acc = 0.350000
70/250  Train Acc = 0.370000
80/250  Train Acc = 0.470000
90/250  Train Acc = 0.280000
100/250  Train Acc = 0.370000
110/250  Train Acc = 0.440000
120/250  Train Acc = 0.270000
130/250  Train Acc = 0.300000
140/250  Train Acc = 0.380000
150/250  Train Acc = 0.440000
160/250  Train Acc = 0.250000
170/250  Train Acc = 0.460000
180/250  Train Acc = 0.270000
190/250  Train Acc = 0.310000
200/250  Train Acc = 0.270000
210/250  Train Acc = 0.410000
220/250  Train Acc = 0.330000
230/250  Train Acc = 0.310000
240/250  Train Acc = 0.420000
250/250  Train Acc = 0.500000
	Train cost = 1.620817,	Accuracy = 0.396280
10/250  Test Acc = 0.250000
20/250  Test Acc = 0.370000
30/250  Test Acc = 0.290000
40/250  Test Acc = 0.360000
50/250  Test Acc = 0.390000
60/250  Test Acc = 0.220000
70/250  Test Acc = 0.390000
80/250  Test Acc = 0.390000
90/250  Test Acc = 0.420000
100/250  Test Acc = 0.270000
110/250  Test Acc = 0.380000
