nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
210/250  Train Acc = 0.990000
220/250  Train Acc = 0.970000
230/250  Train Acc = 0.990000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.920000
	Train cost = 0.073436,	Accuracy = 0.977440
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.850000
60/250  Test Acc = 0.850000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.910000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.910000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.880000
130/250  Test Acc = 0.950000
140/250  Test Acc = 0.920000
150/250  Test Acc = 0.830000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.890000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.900000
220/250  Test Acc = 0.900000
230/250  Test Acc = 0.950000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.960000
	Test cost = 0.321456,	Accuracy = 0.899160
Epoch = 5
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 0.990000
40/250  Train Acc = 0.990000
50/250  Train Acc = 1.000000
60/250  Train Acc = 0.960000
70/250  Train Acc = 0.990000
80/250  Train Acc = 1.000000
90/250  Train Acc = 1.000000
100/250  Train Acc = 0.980000
110/250  Train Acc = 0.990000
120/250  Train Acc = 1.000000
130/250  Train Acc = 0.980000
140/250  Train Acc = 1.000000
150/250  Train Acc = 0.990000
160/250  Train Acc = 0.980000
170/250  Train Acc = 0.980000
180/250  Train Acc = 1.000000
190/250  Train Acc = 0.990000
200/250  Train Acc = 0.990000
210/250  Train Acc = 0.990000
220/250  Train Acc = 0.950000
230/250  Train Acc = 1.000000
240/250  Train Acc = 0.990000
250/250  Train Acc = 0.950000
	Train cost = 0.040768,	Accuracy = 0.988600
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.870000
30/250  Test Acc = 0.940000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.840000
60/250  Test Acc = 0.820000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.870000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.860000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.840000
190/250  Test Acc = 0.870000
200/250  Test Acc = 0.920000
210/250  Test Acc = 0.910000
220/250  Test Acc = 0.880000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.840000
250/250  Test Acc = 0.930000
	Test cost = 0.396222,	Accuracy = 0.890080
Epoch = 6
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 0.990000
40/250  Train Acc = 0.990000
50/250  Train Acc = 1.000000
60/250  Train Acc = 0.990000
70/250  Train Acc = 1.000000
80/250  Train Acc = 0.980000
90/250  Train Acc = 1.000000
100/250  Train Acc = 0.990000
110/250  Train Acc = 1.000000
120/250  Train Acc = 1.000000
130/250  Train Acc = 1.000000
140/250  Train Acc = 1.000000
150/250  Train Acc = 1.000000
160/250  Train Acc = 0.990000
170/250  Train Acc = 0.990000
180/250  Train Acc = 0.990000
190/250  Train Acc = 0.990000
200/250  Train Acc = 1.000000
210/250  Train Acc = 0.990000
220/250  Train Acc = 1.000000
230/250  Train Acc = 1.000000
240/250  Train Acc = 1.000000
250/250  Train Acc = 0.980000
	Train cost = 0.023954,	Accuracy = 0.993800
10/250  Test Acc = 0.870000
20/250  Test Acc = 0.850000
30/250  Test Acc = 0.940000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.850000
60/250  Test Acc = 0.820000
70/250  Test Acc = 0.930000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.830000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.870000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.840000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.860000
190/250  Test Acc = 0.890000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.890000
220/250  Test Acc = 0.870000
230/250  Test Acc = 0.920000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.930000
	Test cost = 0.440048,	Accuracy = 0.889960
Epoch = 7
10/250  Train Acc = 1.000000
20/250  Train Acc = 0.990000
30/250  Train Acc = 1.000000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 0.990000
70/250  Train Acc = 0.990000
80/250  Train Acc = 1.000000
90/250  Train Acc = 1.000000
100/250  Train Acc = 0.990000
110/250  Train Acc = 1.000000
120/250  Train Acc = 0.990000
130/250  Train Acc = 1.000000
140/250  Train Acc = 1.000000
150/250  Train Acc = 1.000000
160/250  Train Acc = 1.000000
170/250  Train Acc = 1.000000
180/250  Train Acc = 1.000000
190/250  Train Acc = 0.990000
200/250  Train Acc = 1.000000
210/250  Train Acc = 1.000000
220/250  Train Acc = 1.000000
230/250  Train Acc = 0.990000
240/250  Train Acc = 0.990000
250/250  Train Acc = 0.970000
	Train cost = 0.013324,	Accuracy = 0.996520
10/250  Test Acc = 0.880000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.920000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.830000
60/250  Test Acc = 0.830000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.930000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.860000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.850000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.860000
190/250  Test Acc = 0.910000
200/250  Test Acc = 0.900000
210/250  Test Acc = 0.870000
220/250  Test Acc = 0.890000
230/250  Test Acc = 0.920000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.940000
	Test cost = 0.503060,	Accuracy = 0.886720
Epoch = 8
10/250  Train Acc = 1.000000
