nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
210/250  Train Acc = 0.450000
220/250  Train Acc = 0.450000
230/250  Train Acc = 0.540000
240/250  Train Acc = 0.490000
250/250  Train Acc = 0.480000
	Train cost = 1.330485,	Accuracy = 0.476320
10/250  Test Acc = 0.410000
20/250  Test Acc = 0.500000
30/250  Test Acc = 0.510000
40/250  Test Acc = 0.430000
50/250  Test Acc = 0.450000
60/250  Test Acc = 0.580000
70/250  Test Acc = 0.310000
80/250  Test Acc = 0.500000
90/250  Test Acc = 0.460000
100/250  Test Acc = 0.440000
110/250  Test Acc = 0.410000
120/250  Test Acc = 0.380000
130/250  Test Acc = 0.360000
140/250  Test Acc = 0.440000
150/250  Test Acc = 0.460000
160/250  Test Acc = 0.540000
170/250  Test Acc = 0.380000
180/250  Test Acc = 0.540000
190/250  Test Acc = 0.610000
200/250  Test Acc = 0.580000
210/250  Test Acc = 0.380000
220/250  Test Acc = 0.450000
230/250  Test Acc = 0.510000
240/250  Test Acc = 0.450000
250/250  Test Acc = 0.450000
	Test cost = 1.425860,	Accuracy = 0.445440
Epoch = 5
10/250  Train Acc = 0.510000
20/250  Train Acc = 0.430000
30/250  Train Acc = 0.550000
40/250  Train Acc = 0.450000
50/250  Train Acc = 0.510000
60/250  Train Acc = 0.480000
70/250  Train Acc = 0.500000
80/250  Train Acc = 0.460000
90/250  Train Acc = 0.540000
100/250  Train Acc = 0.470000
110/250  Train Acc = 0.460000
120/250  Train Acc = 0.420000
130/250  Train Acc = 0.430000
140/250  Train Acc = 0.570000
150/250  Train Acc = 0.450000
160/250  Train Acc = 0.550000
170/250  Train Acc = 0.520000
180/250  Train Acc = 0.570000
190/250  Train Acc = 0.630000
200/250  Train Acc = 0.410000
210/250  Train Acc = 0.500000
220/250  Train Acc = 0.460000
230/250  Train Acc = 0.540000
240/250  Train Acc = 0.510000
250/250  Train Acc = 0.500000
	Train cost = 1.287080,	Accuracy = 0.493400
10/250  Test Acc = 0.420000
20/250  Test Acc = 0.510000
30/250  Test Acc = 0.530000
40/250  Test Acc = 0.450000
50/250  Test Acc = 0.460000
60/250  Test Acc = 0.590000
70/250  Test Acc = 0.340000
80/250  Test Acc = 0.500000
90/250  Test Acc = 0.490000
100/250  Test Acc = 0.450000
110/250  Test Acc = 0.420000
