nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = True #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
210/250  Train Acc = 0.910000
220/250  Train Acc = 0.910000
230/250  Train Acc = 0.900000
240/250  Train Acc = 0.890000
250/250  Train Acc = 0.960000
	Train cost = 0.221297,	Accuracy = 0.912040
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.920000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.930000
50/250  Test Acc = 0.920000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.840000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.880000
100/250  Test Acc = 0.830000
110/250  Test Acc = 0.950000
120/250  Test Acc = 0.930000
130/250  Test Acc = 0.860000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.910000
160/250  Test Acc = 0.840000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.890000
190/250  Test Acc = 0.850000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.880000
220/250  Test Acc = 0.940000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.930000
250/250  Test Acc = 0.910000
	Test cost = 0.257249,	Accuracy = 0.897960
Epoch = 5
10/250  Train Acc = 0.900000
20/250  Train Acc = 0.900000
30/250  Train Acc = 0.920000
40/250  Train Acc = 0.940000
50/250  Train Acc = 0.910000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.950000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.890000
100/250  Train Acc = 0.920000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.900000
130/250  Train Acc = 0.930000
140/250  Train Acc = 0.910000
150/250  Train Acc = 0.960000
160/250  Train Acc = 1.000000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.880000
190/250  Train Acc = 0.930000
200/250  Train Acc = 0.890000
210/250  Train Acc = 0.920000
220/250  Train Acc = 0.920000
230/250  Train Acc = 0.910000
240/250  Train Acc = 0.920000
250/250  Train Acc = 0.960000
	Train cost = 0.201672,	Accuracy = 0.921000
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.930000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.930000
50/250  Test Acc = 0.930000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.910000
100/250  Test Acc = 0.850000
110/250  Test Acc = 0.960000
120/250  Test Acc = 0.950000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.900000
160/250  Test Acc = 0.840000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.840000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.870000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.880000
240/250  Test Acc = 0.930000
250/250  Test Acc = 0.910000
	Test cost = 0.257862,	Accuracy = 0.898720
Epoch = 6
10/250  Train Acc = 0.880000
20/250  Train Acc = 0.890000
30/250  Train Acc = 0.920000
40/250  Train Acc = 0.970000
50/250  Train Acc = 0.920000
60/250  Train Acc = 0.900000
70/250  Train Acc = 0.960000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.910000
100/250  Train Acc = 0.930000
110/250  Train Acc = 0.980000
120/250  Train Acc = 0.920000
130/250  Train Acc = 0.930000
140/250  Train Acc = 0.910000
150/250  Train Acc = 0.960000
160/250  Train Acc = 1.000000
170/250  Train Acc = 0.940000
180/250  Train Acc = 0.890000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.900000
210/250  Train Acc = 0.920000
220/250  Train Acc = 0.920000
230/250  Train Acc = 0.920000
240/250  Train Acc = 0.920000
250/250  Train Acc = 0.970000
	Train cost = 0.181509,	Accuracy = 0.930480
10/250  Test Acc = 0.920000
20/250  Test Acc = 0.930000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.960000
50/250  Test Acc = 0.940000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.920000
100/250  Test Acc = 0.850000
110/250  Test Acc = 0.950000
120/250  Test Acc = 0.970000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.890000
160/250  Test Acc = 0.840000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.920000
190/250  Test Acc = 0.850000
200/250  Test Acc = 0.930000
210/250  Test Acc = 0.880000
220/250  Test Acc = 0.920000
230/250  Test Acc = 0.870000
240/250  Test Acc = 0.950000
250/250  Test Acc = 0.930000
	Test cost = 0.263671,	Accuracy = 0.899880
Epoch = 7
10/250  Train Acc = 0.890000
20/250  Train Acc = 0.900000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.980000
