nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = parnn + lstm lambda = 0.0 share = False #class = 2 drop = 0.1 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
140/250  Test Acc = 0.860000
150/250  Test Acc = 0.900000
160/250  Test Acc = 0.930000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.910000
200/250  Test Acc = 0.860000
210/250  Test Acc = 0.870000
220/250  Test Acc = 0.890000
230/250  Test Acc = 0.850000
240/250  Test Acc = 0.940000
250/250  Test Acc = 0.900000
	Test cost = 0.359750,	Accuracy = 0.896120
Epoch = 7
10/250  Train Acc = 0.990000
20/250  Train Acc = 0.970000
30/250  Train Acc = 0.990000
40/250  Train Acc = 0.960000
50/250  Train Acc = 0.980000
60/250  Train Acc = 0.970000
70/250  Train Acc = 0.980000
80/250  Train Acc = 0.990000
90/250  Train Acc = 0.990000
100/250  Train Acc = 0.980000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.920000
130/250  Train Acc = 0.980000
140/250  Train Acc = 1.000000
150/250  Train Acc = 0.980000
160/250  Train Acc = 0.970000
170/250  Train Acc = 0.970000
180/250  Train Acc = 0.990000
190/250  Train Acc = 0.970000
200/250  Train Acc = 1.000000
210/250  Train Acc = 0.950000
220/250  Train Acc = 0.980000
230/250  Train Acc = 0.990000
240/250  Train Acc = 0.990000
250/250  Train Acc = 0.970000
	Train cost = 0.048512,	Accuracy = 0.982440
10/250  Test Acc = 0.960000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.930000
50/250  Test Acc = 0.870000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.920000
80/250  Test Acc = 0.880000
90/250  Test Acc = 0.940000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.830000
130/250  Test Acc = 0.900000
140/250  Test Acc = 0.850000
150/250  Test Acc = 0.870000
160/250  Test Acc = 0.920000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.860000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.900000
230/250  Test Acc = 0.840000
240/250  Test Acc = 0.900000
250/250  Test Acc = 0.880000
	Test cost = 0.403591,	Accuracy = 0.891880
Epoch = 8
10/250  Train Acc = 0.990000
20/250  Train Acc = 1.000000
30/250  Train Acc = 0.990000
40/250  Train Acc = 0.980000
50/250  Train Acc = 0.990000
60/250  Train Acc = 0.970000
70/250  Train Acc = 0.970000
80/250  Train Acc = 0.990000
90/250  Train Acc = 1.000000
100/250  Train Acc = 1.000000
110/250  Train Acc = 0.980000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.990000
140/250  Train Acc = 0.980000
